,name,symbol,currency
0,Bitcoin,BTC,USD
1,Ethereum,ETH,USD
2,Binance Coin,BNB,USD
3,Tether,USDT,USD
4,Cardano,ADA,USD
5,Polkadot,DOT,USD
6,XRP,XRP,USD
7,Uniswap,UNI,USD
8,Litecoin,LTC,USD
9,Chainlink,LINK,USD
10,THETA,THETA,USD
11,USD Coin,USDC,USD
12,Bitcoin Cash,BCH,USD
13,Stellar,XLM,USD
14,Terra,LUNA,USD
15,Wrapped Bitcoin,WBTC,USD
16,Dogecoin,DOGE,USD
17,VeChain,VET,USD
18,Crypto.com Coin,CRO,USD
19,Filecoin,FIL,USD
20,Aave,AAVE,USD
21,TRON,TRX,USD
22,IOTA,MIOTA,USD
23,Cosmos,ATOM,USD
24,Solana,SOL,USD
25,EOS,EOS,USD
26,Avalanche,AVAX,USD
27,Monero,XMR,USD
28,Bitcoin SV,BSV,USD
29,Kusama,KSM,USD
30,FTX Token,FTT,USD
31,Tezos,XTZ,USD
32,NEM,XEM,USD
33,BitTorrent,BTT,USD
34,Algorand,ALGO,USD
35,Neo,NEO,USD
36,Chiliz,CHZ,USD
37,Dai,DAI,USD
38,Huobi Token,HT,USD
39,Hedera Hashgraph,HBAR,USD
40,Elrond,EGLD,USD
41,SushiSwap,SUSHI,USD
42,Synthetix,SNX,USD
43,Dash,DASH,USD
44,Theta Fuel,TFUEL,USD
45,UNUS SED LEO,LEO,USD
46,The Graph,GRT,USD
47,Decred,DCR,USD
48,Maker,MKR,USD
49,Zilliqa,ZIL,USD
50,Compound,COMP,USD
51,Polygon,MATIC,USD
52,NEAR Protocol,NEAR,USD
53,Enjin Coin,ENJ,USD
54,Ravencoin,RVN,USD
55,Basic Attention Token,BAT,USD
56,Pundi X,NPXS,USD
57,Zcash,ZEC,USD
58,PancakeSwap,CAKE,USD
59,Harmony,ONE,USD
60,Decentraland,MANA,USD
61,Nexo,NEXO,USD
62,UMA,UMA,USD
63,Ethereum Classic,ETC,USD
64,Bancor,BNT,USD
65,SwissBorg,CHSB,USD
66,THORChain,RUNE,USD
67,yearn.finance,YFI,USD
68,Holo,HOT,USD
69,Reserve Rights,RSR,USD
70,ICON,ICX,USD
71,Celsius,CEL,USD
72,0x,ZRX,USD
73,Waves,WAVES,USD
74,Fantom,FTM,USD
75,Ren,REN,USD
76,Siacoin,SC,USD
77,Revain,REV,USD
78,Voyager Token,VGX,USD
79,Ontology,ONT,USD
80,DigiByte,DGB,USD
81,Dent,DENT,USD
82,OKB,OKB,USD
83,IOST,IOST,USD
84,OMG Network,OMG,USD
85,Paxos Standard,PAX,USD
86,Celo,CELO,USD
87,1inch,1INCH,USD
88,Nano,NANO,USD
89,Nano,NANO,USD
90,Qtum,QTUM,USD
91,Loopring,LRC,USD
92,Ocean Protocol,OCEAN,USD
93,Curve DAO Token,CRV,USD
94,Kyber Network,KNC,USD
95,Horizen,ZEN,USD
96,MVL,MVL,USD
97,Bitcoin Gold,BTG,USD
98,Lisk,LSK,USD
99,Verge,XVG,USD
100,Fetch.ai,FET,USD
101,Energy Web Token,EWT,USD
102,Quant,QNT,USD
103,Ankr,ANKR,USD
104,Golem,GLM,USD
105,Bitpanda Ecosystem Token,BEST,USD
106,Electroneum,ETN,USD
107,Celer Network,CELR,USD
108,StormX,STMX,USD
109,Augur,REP,USD
110,Mixin,XIN,USD
