,country,name,full_name,symbol,isin,asset_class,currency,stock_exchange,def_stock_exchange
0,australia,Australian High Interest Cash,Australian High Interest Cash,AAA,AU000000AAA3,other,AUD,Sydney,True
1,australia,VanEck Vectors MSCI International Sustainable Equi,VanEck Vectors MSCI International Sustainable Equity,ESGI,AU0000001356,equity,AUD,Sydney,True
2,australia,BetaShares Australian Equities Strong Bear Hedge,BetaShares Australian Equities Strong Bear Hedge,BBOZ,AU00000BBOZ2,equity,AUD,Sydney,True
3,australia,BetaShares Gold Bullion,BetaShares Gold Bullion Currency Hedged,QAU,AU000000QAU7,commodity,AUD,Sydney,True
4,australia,Vanguard Australian Shares,Vanguard Australian Shares,VAS,AU000000VAS1,equity,AUD,Sydney,True
5,australia,Betashares Active Australian Hybrids,Betashares Active Australian Hybrids,HBRD,AU00000HBRD9,bond,AUD,Sydney,True
6,australia,Montgomery Global Equities Fund,Montgomery Global Equities Fund,MOGL,AU00000MOGL8,equity,AUD,Sydney,True
7,australia,iShares S&P/ASX Dividend Opportunities,iShares S&P/ASX Dividend Opportunities,IHD,AU000000IHD5,equity,AUD,Sydney,True
8,australia,VanEck Vectors FTSE Global Infrastructure,VanEck Vectors FTSE Global Infrastructure,IFRA,AU00000IFRA4,equity,AUD,Sydney,True
9,australia,WCM Quality Global Growth,WCM Quality Global Growth,WCMQ,AU0000018103,equity,AUD,Sydney,True
10,australia,Vanguard Australian Government Bond,Vanguard Australian Government Bond,VGB,AU000000VGB4,bond,AUD,Sydney,True
11,australia,Betashares U.S. Equities Strong Bear Currency Hedg,Betashares U.S. Equities Strong Bear Currency Hedged,BBUS,AU00000BBUS4,equity,AUD,Sydney,True
12,australia,Ishares Core S&P/Asx 200,Ishares Core S&P/Asx 200,IOZ,AU000000IOZ4,equity,AUD,Sydney,True
13,australia,ANZ SP ASX 300 High Yield Plus,ANZ S&P/ASX 300 High Yield Plus,ZYAU,AU00000ZYAU3,equity,AUD,Sydney,True
14,australia,BetaShares Australian Top 20 Equity Yield Maximise,BetaShares Australian Top 20 Equity Yield Maximiser,YMAX,AU00000YMAX5,equity,AUD,Sydney,True
15,australia,VanEck Vectors Australian Equal Weight,VanEck Vectors Australian Equal Weight,MVW,AU000000MVW8,equity,AUD,Sydney,True
16,australia,VanEck Vectors MSCI World ex Australia Quality Hed,VanEck Vectors MSCI World ex Australia Quality (Hedged) ETF,QHAL,AU0000041204,equity,AUD,Sydney,True
17,australia,Vanguard Australian Property Securities,Vanguard Australian Property Securities,VAP,AU000000VAP7,equity,AUD,Sydney,True
18,australia,Magellan Global Equities,Magellan Global Equities,MHG,AU000000MHG0,equity,AUD,Sydney,True
19,australia,Perth Mint Gold,Perth Mint Gold,PMGOLD,AU000PMGOLD8,commodity,AUD,Sydney,True
20,australia,Vanguard Australian Shares High Yield,Vanguard Australian Shares High Yield,VHY,AU000000VHY4,equity,AUD,Sydney,True
21,australia,BetaShares Legg Mason Real Income,BetaShares Legg Mason Real Income,RINC,AU0000000630,equity,AUD,Sydney,True
22,australia,ETFS Physical Gold,ETFS Physical Gold,GOLD,AU00000GOLD7,commodity,AUD,Sydney,True
23,australia,Vanguard Australian Fixed Interest,Vanguard Australian Fixed Interest,VAF,AU000000VAF8,other,AUD,Sydney,True
24,australia,SPDR Dow Jones Global Real Estate,SPDR Dow Jones Global Real Estate,DJRE,AU00000DJRE9,equity,AUD,Sydney,True
25,australia,Betashares Nasdaq 100,Betashares Nasdaq 100,NDQ,AU000000NDQ6,equity,AUD,Sydney,True
26,australia,AMP Capital Global Infrastructure Securities,AMP Capital Global Infrastructure Securities,GLIN,AU00000GLIN8,equity,AUD,Sydney,True
27,australia,BetaShares Australian Investment Grade Corporate B,BetaShares Australian Investment Grade Corporate Bond ETF,CRED,AU0000008203,bond,AUD,Sydney,True
28,australia,Betashares Australian Bank Senior Floating Rate Bo,Betashares Australian Bank Senior Floating Rate Bond,QPON,AU00000QPON6,bond,AUD,Sydney,True
29,australia,BetaShares FTSE RAFI Australia 200,BetaShares FTSE RAFI Australia 200,QOZ,AU000000QOZ7,equity,AUD,Sydney,True
30,australia,Fidelity Global Emerging Markets,Fidelity Global Emerging Markets,FEMX,AU0000027708,equity,AUD,Sydney,True
31,australia,BetaShares US Dollar,BetaShares US Dollar,USD,AU000000USD7,currency,AUD,Sydney,True
32,australia,Vanguard MSCI Int Shares,Vanguard MSCI International Shares,VGS,AU000000VGS8,equity,AUD,Sydney,True
33,australia,BetaShares Australia 200,BetaShares Australia 200,A200,AU00000A2000,equity,AUD,Sydney,True
34,australia,BetaShares FTSE 100,BetaShares FTSE 100 ETF,F100,AU0000051054,equity,AUD,Sydney,True
35,australia,BetaShares Global Sustainability Leaders,BetaShares Global Sustainability Leaders,ETHI,AU00000ETHI8,equity,AUD,Sydney,True
36,australia,Betashares Global Cybersecurity,Betashares Global Cybersecurity,HACK,AU00000HACK8,equity,AUD,Sydney,True
37,australia,Vanguard MSCI Int Shares Hedged,Vanguard MSCI International Shares Hedged,VGAD,AU00000VGAD5,equity,AUD,Sydney,True
38,australia,VanEck Vectors Australian Floating Rate,VanEck Vectors Australian Floating Rate,FLOT,AU00000FLOT5,other,AUD,Sydney,True
39,australia,VanEck Vectors MSCI World ex Australia Quality,VanEck Vectors MSCI World ex Australia Quality,QUAL,AU00000QUAL9,equity,AUD,Sydney,True
40,australia,BetaShares Australian Dividend Harvester,BetaShares Australian Dividend Harvester,HVST,AU00000HVST1,equity,AUD,Sydney,True
41,australia,Betashares Asia Technology Tigers,Betashares Asia Technology Tigers,ASIA,AU0000022063,equity,AUD,Sydney,True
42,australia,Vanguard All World Ex US Shares,Vanguard All World Ex US Shares,VEU,AU000000VEU9,equity,AUD,Sydney,True
43,australia,iShares Edge MSCI World Multifactor,iShares Edge MSCI World Multifactor ETF,WDMF,AU00000WDMF0,equity,AUD,Sydney,True
44,australia,VanEck Vectors FTSE International Prop (Hdg),VanEck Vectors FTSE International Prop (Hdg),REIT,AU0000041212,other,AUD,Sydney,True
45,australia,BetaShares Global Banks,BetaShares Global Banks ETF Currency Hedged,BNKS,AU00000BNKS0,equity,AUD,Sydney,True
