V1,link,ticker,market,parentid,fullname,source,code,updates,date,updated,URL,ticker
"http://s.cafef.vn/upcom/A32-cong-ty-co-phan-32.chn,CenterName:UpCom,Symbol:A32,TradeCenterID:9,ChangePrice:0,VonHoa:205.36,ChangeVolume:0,EPS:5.08959657970588,PE:5.93367264517951,Beta:0,Price:30.2,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan 32,ParentCategoryId:339},",upcom/A32-cong-ty-co-phan-32.chn,A32,UPC,339,Cong ty co phan 32,CAF,STKVNA32,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/A32-cong-ty-co-phan-32.chn,
"http://s.cafef.vn/hose/AAA-cong-ty-co-phan-nhua-an-phat-xanh.chn,CenterName:HSX,Symbol:AAA,TradeCenterID:1,ChangePrice:-7.8104993597951271,VonHoa:2752.3763712,ChangeVolume:13.629784031034683,EPS:0.924747890122492,PE:7.78590584191145,Beta:0.77644378231531,Price:7.2,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Nhua An Phat Xanh,ParentCategoryId:344},",hose/AAA-cong-ty-co-phan-nhua-an-phat-xanh.chn,AAA,HSX,344,Cong ty Co phan Nhua An Phat Xanh,CAF,STKVNAAA,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/AAA-cong-ty-co-phan-nhua-an-phat-xanh.chn,
"http://s.cafef.vn/hose/AAM-cong-ty-co-phan-thuy-san-mekong.chn,CenterName:HSX,Symbol:AAM,TradeCenterID:1,ChangePrice:4.4247787610619467,VonHoa:123.3239476,ChangeVolume:145.86776859504133,EPS:1.70941813308772,PE:6.90293367760506,Beta:0.131890681839381,Price:11.8,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Thuy san Mekong,ParentCategoryId:338},",hose/AAM-cong-ty-co-phan-thuy-san-mekong.chn,AAM,HSX,338,Cong ty Co phan Thuy san Mekong,CAF,STKVNAAM,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/AAM-cong-ty-co-phan-thuy-san-mekong.chn,
"http://s.cafef.vn/upcom/AAS-cong-ty-co-phan-chung-khoan-smart-invest.chn,CenterName:UpCom,Symbol:AAS,TradeCenterID:9,ChangePrice:-7.4766355140186826,VonHoa:792,ChangeVolume:12.596322363479567,EPS:6.5793171030125,PE:1.50471543550729,Beta:0,Price:9.9,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Chung Khoan Smart Invest,ParentCategoryId:341},",upcom/AAS-cong-ty-co-phan-chung-khoan-smart-invest.chn,AAS,UPC,341,Cong ty Co phan Chung Khoan Smart Invest,CAF,STKVNAAS,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/AAS-cong-ty-co-phan-chung-khoan-smart-invest.chn,
"http://s.cafef.vn/hose/AAT-cong-ty-co-phan-tap-doan-tien-son-thanh-hoa.chn,CenterName:HSX,Symbol:AAT,TradeCenterID:1,ChangePrice:-1.886792452830182,VonHoa:331.7677428,ChangeVolume:-10.316306342812194,EPS:1.54170898007698,PE:3.37288039908827,Beta:0,Price:5.2,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Tap doan Tien Son Thanh Hoa,ParentCategoryId:339},",hose/AAT-cong-ty-co-phan-tap-doan-tien-son-thanh-hoa.chn,AAT,HSX,339,Cong ty Co phan Tap doan Tien Son Thanh Hoa,CAF,STKVNAAT,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/AAT-cong-ty-co-phan-tap-doan-tien-son-thanh-hoa.chn,
"http://s.cafef.vn/hastc/AAV-cong-ty-co-phan-aav-group.chn,CenterName:HNX,Symbol:AAV,TradeCenterID:2,ChangePrice:-11.11111111111112,VonHoa:331.1407728,ChangeVolume:-50.004782487895753,EPS:0.121609327446712,PE:39.4706565752803,Beta:0,Price:4.8,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan AAV Group,ParentCategoryId:345},",hastc/AAV-cong-ty-co-phan-aav-group.chn,AAV,HNX,345,Cong ty Co phan AAV Group,CAF,STKVNAAV,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/AAV-cong-ty-co-phan-aav-group.chn,
"http://s.cafef.vn/upcom/ABB-ngan-hang-thuong-mai-co-phan-an-binh.chn,CenterName:UpCom,Symbol:ABB,TradeCenterID:9,ChangePrice:-3.5294117647058907,VonHoa:7715.7660724,ChangeVolume:-20.353960866664004,EPS:1.78974178120354,PE:4.58166652090213,Beta:0,Price:8.2,UpdatedDate:\/Date(1671780312384)\/,FullName:Ngan hang Thuong mai co phan An Binh,ParentCategoryId:341},",upcom/ABB-ngan-hang-thuong-mai-co-phan-an-binh.chn,ABB,UPC,341,Ngan hang Thuong mai co phan An Binh,CAF,STKVNABB,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/ABB-ngan-hang-thuong-mai-co-phan-an-binh.chn,
"http://s.cafef.vn/upcom/ABC-cong-ty-co-phan-truyen-thong-vmg.chn,CenterName:UpCom,Symbol:ABC,TradeCenterID:9,ChangePrice:-3.9215686274509665,VonHoa:99.9257,ChangeVolume:400.1219512195122,EPS:-27.203405150738,PE:-0.180124509150542,Beta:0,Price:4.9,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan Truyen thong VMG,ParentCategoryId:348},",upcom/ABC-cong-ty-co-phan-truyen-thong-vmg.chn,ABC,UPC,348,Cong ty co phan Truyen thong VMG,CAF,STKVNABC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/ABC-cong-ty-co-phan-truyen-thong-vmg.chn,
"http://s.cafef.vn/upcom/ABI-cong-ty-co-phan-bao-hiem-ngan-hang-nong-nghiep.chn,CenterName:UpCom,Symbol:ABI,TradeCenterID:9,ChangePrice:-0.27932960893853165,VonHoa:1840.5997869,ChangeVolume:-70.779976717112916,EPS:2.9518276988782,PE:12.0942018443581,Beta:-0.030427584082552,Price:35.7,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Bao hiem Ngan hang Nong nghiep  ,ParentCategoryId:341},",upcom/ABI-cong-ty-co-phan-bao-hiem-ngan-hang-nong-nghiep.chn,ABI,UPC,341,Cong ty Co phan Bao hiem Ngan hang Nong nghiep  ,CAF,STKVNABI,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/ABI-cong-ty-co-phan-bao-hiem-ngan-hang-nong-nghiep.chn,
"http://s.cafef.vn/hose/ABR-cong-ty-co-phan-dau-tu-nhan-hieu-viet.chn,CenterName:HSX,Symbol:ABR,TradeCenterID:1,ChangePrice:6.99541284403669,VonHoa:186.6,ChangeVolume:-100,EPS:1.2885797098,PE:7.24052996414797,Beta:0,Price:9.33,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Đau tu Nhan hieu Viet,ParentCategoryId:339},",hose/ABR-cong-ty-co-phan-dau-tu-nhan-hieu-viet.chn,ABR,HSX,339,Cong ty Co phan Đau tu Nhan hieu Viet,CAF,STKVNABR,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ABR-cong-ty-co-phan-dau-tu-nhan-hieu-viet.chn,
