,country,name,full_name,isin,currency,symbol
0,argentina,Tenaris,Tenaris,LU0156801721,ARS,TS
1,argentina,PETROBRAS ON,Petroleo Brasileiro - Petrobras,BRPETRACNOR9,ARS,APBR
2,argentina,Grupo Financiero Galicia,Grupo Financiero Galicia B,ARP495251018,ARS,GGAL
3,argentina,Ternium Argentina,Ternium Argentina SA,ARSIDE010029,ARS,TXAR
4,argentina,Pampa Energia,Pampa Energia SA,ARP432631215,ARS,PAMP
5,argentina,Telecom Argentina,Telecom Argentina,ARP9028N1016,ARS,TECO2
6,argentina,Banco Patagonia,Banco Patagonia,ARMERI013163,ARS,BPAT
7,argentina,Aluar,Aluar Aluminio Argentino,ARALUA010258,ARS,ALUA
8,argentina,BBVA Banco Frances,BBVA Banco Frances SA,ARP125991090,ARS,BBAR
9,argentina,Banco Macro,Banco Macro,ARBANS010010,ARS,BMA
10,argentina,Edenor,Empresa Distribuidora y Comercializadora Norte S.A.,ARENOR010020,ARS,EDN
11,argentina,Transener,Compania de Transporte de Energia Electrica en Alta Tension Transener SA,ARTRAN010011,ARS,TRAN
12,argentina,Mirgor,Mirgor S.A. C,ARP6823S1295,ARS,MIRG
13,argentina,Banco Hipotecario,Banco Hipotecario SA,ARBHIP010161,ARS,BHIP
14,argentina,Agrometal,Agrometal,ARAGRO010015,ARS,AGRO
15,argentina,Autopistas del Sol,Autopistas del Sol,ARASOL010033,ARS,AUSO
16,argentina,Boldt Gaming,Boldt Gaming,ARBOLG010010,ARS,GAMI
17,argentina,Boldt,Boldt,ARBOLD010054,ARS,BOLT
18,argentina,Camuzzi Gas Pampeana,Camuzzi Gas Pampeana SA,ARCGSU010048,ARS,CGPA2
19,argentina,Carlos Casado,Carlos Casado,ARCADO010023,ARS,CADO
20,argentina,Carboclor,Carboclor,ARP8723U1058,ARS,CARC
21,argentina,Caputo,Caputo,ARP2071R1377,ARS,CAPU
22,argentina,Enel Generacion Costanera,Enel Generacion Costanera SA,ARP2341J1058,ARS,CECO2
23,argentina,Celulosa Argentina,Celulosa Argentina SA,ARP219751426,ARS,CELU
24,argentina,Central Puerto,Central Puerto S.A.,ARP2354W1188,ARS,CEPU
25,argentina,Grupo clarin,Grupo clarin,ARGCLA010015,ARS,GCLA
26,argentina,Colorin,Colorin Industria de Materiales Sinteticos SA,ARP2885N1161,ARS,COLO
27,argentina,Comercial del Plata,Sociedad Comercial del Plata S.A.,ARP290071462,ARS,COME
28,argentina,Consultatio,Consultatio SA,ARCTIO010019,ARS,CTIO
29,argentina,Capex,Capex,ARP2006N1025,ARS,CAPX
30,argentina,Cresud,Cresud SA,ARP331091024,ARS,CRES
31,argentina,Dycasa,Dycasa SA,ARP3594C1107,ARS,DYCA
32,argentina,Distribuidora de Gas Cuyana,Distribuidora de Gas Cuyana SA,ARP3568E1180,ARS,DGCU2
33,argentina,Ferrum,Ferrum SA de Ceramica y Metalurgia,ARP395611576,ARS,FERR
34,argentina,Fiplasto SA,Fiplasto SA,ARP416191426,ARS,FIPL
35,argentina,Garovaglio y Zorroaquin,Garovaglio y Zorroaquin,ARP460221020,ARS,GARO
36,argentina,Gas Natural BAN,Gas Natural BAN,ARGASB010027,ARS,GBAN
37,argentina,Grimoldi,Grimoldi SA,ARP493071046,ARS,GRIM
38,argentina,Solvay Indupa,Solvay Indupa SAIC,ARP533511050,ARS,INDU
39,argentina,IRSA,IRSA Inversiones y Representaciones SA,ARP588091073,ARS,IRSA
40,argentina,Holcim,Holcim Argentina SA,ARP6806N1051,ARS,HARG
41,argentina,Ledesma,Ledesma SAAI,ARP624571096,ARS,LEDE
42,argentina,Longvie,Longvie SA,ARP6356B1059,ARS,LONG
43,argentina,Metrogas SA,Metrogas SA,ARP6558L1178,ARS,METR
